"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"136893","59","50-59","1","3","4","4.33"
"136894","5",NULL,"2","3",NULL,"1.71"
"136895","56","50-59","1","4","2","1.16"
"136896","12",NULL,"1","1",NULL,NULL
"136897","70","60+","1","3","4","2.71"
"136898","46","40-49","2","3","5","4.62"
"136899","26","18-29","2","1","5","0.69"
"136900","52","50-59","1","4","3","3.91"
"136901","49","40-49","1","3","3","1.77"
"136902","9",NULL,"1","3",NULL,"1.37"
"136903","9",NULL,"1","2",NULL,"1.17"
"136904","7",NULL,"2","3",NULL,"5"
"136905","10",NULL,"2","2",NULL,"0.01"
"136906","53","50-59","2","3","3","3.49"
"136907","16",NULL,"1","4",NULL,"0.67"
"136908","55","50-59","2","4","2","0.04"
"136909","15",NULL,"2","1",NULL,"0.69"
"136910","70","60+","1","3","5","5"
"136911","39","30-39","2","3","5","4.5"
"136912","18","18-29","2","4",NULL,"0.23"
"136913","7",NULL,"1","2",NULL,"5"
"136914","56","50-59","1","3","3",NULL
"136915","3",NULL,"1","3",NULL,"1.51"
"136916","4",NULL,"1","3",NULL,"2.03"
"136917","49","40-49","1","3","4","5"
"136918","24","18-29","2","3","3","2.61"
"136919","5",NULL,"1","4",NULL,"1.82"
"136920","14",NULL,"2","7",NULL,"5"
"136921","61","60+","2","3","4","1.84"
"136922","44","40-49","1","2","5","5"
"136923","20","18-29","1","2","2","0.91"
"136924","73","60+","2","3","4","1.61"
"136925","63","60+","1","2","5",NULL
"136926","55","50-59","2","4","5","4.78"
"136927","19","18-29","1","6",NULL,NULL
"136928","58","50-59","1","3","4",NULL
"136929","47","40-49","2","1","5","5"
"136930","52","50-59","1","4","2","1.28"
"136931","69","60+","1","3","3","2.33"
"136932","17",NULL,"2","3",NULL,"4.02"
"136933","1",NULL,"2","2",NULL,"1.85"
"136934","47","40-49","2","3","5","5"
"136935","59","50-59","1","1","2",NULL
"136936","68","60+","2","3","4","3.44"
"136937","9",NULL,"2","3",NULL,"3.74"
"136938","53","50-59","2","4","5","5"
